"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",10.413,,
"BEL","Belgium","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,164.982,,
"BEL","Belgium","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",39.112,,
"BEL","Belgium","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,32.401,,
"BEL","Belgium","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,22.159,,
"BEL","Belgium","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,344.038,,
"BEL","Belgium","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",25.397,,
"CAN","Canada","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,812.333,,
"CAN","Canada","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",26.562,,
"CAN","Canada","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1788.567,,
"CAN","Canada","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",74.939,,
"CAN","Canada","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,8876.007,,
"CAN","Canada","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",130.149,,
"CAN","Canada","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1625.306,,
"CAN","Canada","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",89.284,,
"CAN","Canada","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,5758.128,,
"CAN","Canada","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",46.418,,
"CZE","Czech Republic","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,96.5,,
"CZE","Czech Republic","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",5.5,,
"CZE","Czech Republic","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,160.972,,
"CZE","Czech Republic","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",22.059,,
"CZE","Czech Republic","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,50.571,,
"CZE","Czech Republic","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",11.917,,
"CZE","Czech Republic","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,39.332,,
"CZE","Czech Republic","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",13.271,,
"CZE","Czech Republic","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,830.714,,
"CZE","Czech Republic","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",40.338,,
"DNK","Denmark","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,10.782,,
"DNK","Denmark","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",6.059,,
"DNK","Denmark","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,104.588,,
"DNK","Denmark","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",34.674,,
"DNK","Denmark","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,28.565,,
"DNK","Denmark","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",75.978,,
"DNK","Denmark","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,16.381,,
"DNK","Denmark","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",66.32,,
"DNK","Denmark","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,236.604,,
"DNK","Denmark","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",32.544,,
"FIN","Finland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,33.394,,
"FIN","Finland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",13.34,,
"FIN","Finland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,119.805,,
"FIN","Finland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",40.164,,
"FIN","Finland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,31.116,,
"FIN","Finland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",42.483,,
"FIN","Finland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,17.798,,
"FIN","Finland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",38.316,,
"FIN","Finland","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,351.044,,
"FIN","Finland","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",48.075,,
"FRA","France","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,136.303,,
"FRA","France","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",10.618,,
"FRA","France","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,746.871,,
"FRA","France","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",37.837,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,215.775,,
"FRA","France","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",39.684,,
"FRA","France","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,134.464,,
"FRA","France","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",31.704,,
"FRA","France","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2508.949,,
"FRA","France","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",24.401,,
"DEU","Germany","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,288.678,,
"DEU","Germany","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",5.275,,
"DEU","Germany","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1197.59,,
"DEU","Germany","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",41.481,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,210.817,,
"DEU","Germany","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,96.716,,
"DEU","Germany","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2934.323,,
"DEU","Germany","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",21.393,,
"GRC","Greece","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,64.55,,
"GRC","Greece","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",13.342,,
"GRC","Greece","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,254.076,,
"GRC","Greece","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",62.959,,
"GRC","Greece","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,56.867,,
"GRC","Greece","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",69.847,,
"GRC","Greece","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,32.971,,
"GRC","Greece","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",59.019,,
"GRC","Greece","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,395.541,,
"GRC","Greece","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",33.809,,
"HUN","Hungary","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,22.946,,
"HUN","Hungary","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",2.765,,
"HUN","Hungary","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,119.473,,
"HUN","Hungary","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",48.693,,
"HUN","Hungary","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,62.296,,
"HUN","Hungary","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",49836552000,,
"HUN","Hungary","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,41.51,,
"HUN","Hungary","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",33208216000,,
"HUN","Hungary","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,361.709,,
"HUN","Hungary","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",25.474,,
"ISL","Iceland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,54.706,,
"ISL","Iceland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",227.658,,
"ISL","Iceland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,21.902,,
"ISL","Iceland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",70.903,,
"ISL","Iceland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1.506,,
"ISL","Iceland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",98.695,,
"ISL","Iceland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1.148,,
"ISL","Iceland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",91.472,,
"ISL","Iceland","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,118.598,,
"ISL","Iceland","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",169.65,,
"IRL","Ireland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,12.167,,
"IRL","Ireland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",6.651,,
"IRL","Ireland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,108.516,,
"IRL","Ireland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",64.311,,
"IRL","Ireland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,27.631,,
"IRL","Ireland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",58.467,,
"IRL","Ireland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,12.117,,
"IRL","Ireland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",37.775,,
"IRL","Ireland","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,76.731,,
"IRL","Ireland","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",21.969,,
"ITA","Italy","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,110.426,,
"ITA","Italy","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",6.19,,
"ITA","Italy","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,671.927,,
"ITA","Italy","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",31.59,,
"ITA","Italy","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,177.497,,
"ITA","Italy","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",59.894,,
"ITA","Italy","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,143.424,,
"ITA","Italy","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",62.65,,
"ITA","Italy","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2080.281,,
"ITA","Italy","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",30.607,,
"JPN","Japan","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,694.934,,
"JPN","Japan","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",55.595,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1316.624,,
"JPN","Japan","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",66.603,,
"JPN","Japan","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2611.408,,
"JPN","Japan","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",59.908,,
"LUX","Luxembourg","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,0.962,,
"LUX","Luxembourg","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",6.102,,
"LUX","Luxembourg","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,20.463,,
"LUX","Luxembourg","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",49.56,,
"LUX","Luxembourg","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1.983,,
"LUX","Luxembourg","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",11.926,,
"LUX","Luxembourg","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1.413,,
"LUX","Luxembourg","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",8.748,,
"LUX","Luxembourg","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,20.383,,
"LUX","Luxembourg","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",4.349,,
"NLD","Netherlands","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,24.338,,
"NLD","Netherlands","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",12.49,,
"NLD","Netherlands","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,225.892,,
"NLD","Netherlands","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",35.566,,
"NLD","Netherlands","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,22.166,,
"NLD","Netherlands","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",30.759,,
"NLD","Netherlands","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,11.903,,
"NLD","Netherlands","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",23.126,,
"NLD","Netherlands","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,541.094,,
"NLD","Netherlands","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",47.455,,
"NZL","New Zealand","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,71.35,,
"NZL","New Zealand","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",125.046,,
"NZL","New Zealand","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,168.341,,
"NZL","New Zealand","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",165.519,,
"NZL","New Zealand","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,739.8,,
"NZL","New Zealand","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",122.732,,
"NOR","Norway","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,16.284,,
"NOR","Norway","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",32.741,,
"NOR","Norway","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,163.489,,
"NOR","Norway","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",81.084,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,33.194,,
"NOR","Norway","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",63.588,,
"NOR","Norway","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,24.499,,
"NOR","Norway","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",58.976,,
"NOR","Norway","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,435.364,,
"NOR","Norway","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",52.337,,
"POL","Poland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,501.836,,
"POL","Poland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",19.204,,
"POL","Poland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,760.401,,
"POL","Poland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",70.733,,
"POL","Poland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,242.767,,
"POL","Poland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",77.036,,
"POL","Poland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,136.743,,
"POL","Poland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",88.409,,
